,kg CO2-eq
AU,559123.6719034656
BE,477708.2052212951
BG,465666.8455949411
BR,401980.7819114401
CA,424412.4225740911
CH,376859.19586565875
CN,538827.333048054
CY,291621.3259236994
CZ,542357.4133689629
DE,403602.7208235647
DK,429141.7264759351
EE,464282.2191035774
ES,399137.9069158639
FI,456967.8799481997
FR,391570.1506477662
GB,448297.0374907124
GR,424136.6614934401
Global,501203.1000963561
HR,438094.8221920311
HU,460505.88586161146
ID,496060.09665099846
IE,428609.63773459813
IN,511426.95178971445
IT,444659.64256101445
JP,398394.4734896703
KR,457488.25131897576
LT,584388.0637185941
LU,422993.56789435237
LV,586349.6750252575
MT,383019.2154088056
MX,450281.15135587705
NL,420081.99366348155
NO,403934.60477939696
PL,576274.9419139937
PT,394178.83656879526
RO,494267.6079910373
RU,646769.7168708947
SE,402397.7353150081
SI,445861.77773589373
SK,509166.19623428746
TR,400843.52604801045
TW,319003.12842029537
US,456529.8300404426
WA,505867.265070227
WE,581279.7894237082
WF,419689.55161171046
WL,511626.7294939819
WM,332554.27173125837
ZA,643231.6739568028
